1,1906,SPOKANE,NA,111449.6366
2,1906,SPOKANE,NA,111357.115
3,1906,SPOKANE,NA,111265.1044
4,1906,SPOKANE,NA,111173.6038
5,1906,SPOKANE,NA,111082.6124
6,1906,SPOKANE,NA,110992.1292
7,1906,SPOKANE,NA,110902.1534
8,1906,SPOKANE,NA,110812.6842
9,1906,SPOKANE,NA,110723.7205
10,1906,SPOKANE,NA,110635.2615
11,1906,SPOKANE,NA,110547.3063
12,1906,SPOKANE,NA,110459.8541
13,1906,SPOKANE,NA,110372.9039
14,1906,SPOKANE,NA,110286.4549
15,1906,SPOKANE,NA,110200.5061
16,1906,SPOKANE,NA,110115.0567
17,1906,SPOKANE,NA,110030.1058
18,1906,SPOKANE,NA,109945.6524
19,1906,SPOKANE,NA,109861.6958
20,1906,SPOKANE,NA,109778.235
21,1906,SPOKANE,2,109695.2691
22,1906,SPOKANE,2,109612.7973
23,1906,SPOKANE,2,109530.8186
24,1906,SPOKANE,NA,109449.3321
25,1906,SPOKANE,NA,109368.3371
26,1906,SPOKANE,NA,109287.8325
1,1907,SPOKANE,7,109207.8175
2,1907,SPOKANE,20,109128.2912
3,1907,SPOKANE,20,109049.2527
4,1907,SPOKANE,55,108970.7011
5,1907,SPOKANE,62,108892.6356
6,1907,SPOKANE,88,108815.0552
7,1907,SPOKANE,118,108737.959
8,1907,SPOKANE,101,108661.3462
9,1907,SPOKANE,83,108585.2159
10,1907,SPOKANE,61,108509.5672
11,1907,SPOKANE,48,108434.3992
12,1907,SPOKANE,14,108359.711
13,1907,SPOKANE,3,108285.5017
14,1907,SPOKANE,2,108211.7704
15,1907,SPOKANE,NA,108138.5163
16,1907,SPOKANE,NA,108065.7384
17,1907,SPOKANE,NA,107993.4359
18,1907,SPOKANE,2,107921.6078
19,1907,SPOKANE,NA,107850.2533
20,1907,SPOKANE,NA,107779.3715
21,1907,SPOKANE,NA,107708.9616
22,1907,SPOKANE,2,107639.0225
23,1907,SPOKANE,2,107569.5534
24,1907,SPOKANE,2,107500.5535
25,1907,SPOKANE,NA,107432.0218
26,1907,SPOKANE,NA,107363.9575
